title,category,subscriber,view,video
BLACKPINK,[음악/댄스/가수],5930만,167억0034만,350개
Big Hit Labels,[음악/댄스/가수],5250만,152억2794만,541개
BANGTANTV,[음악/댄스/가수],4670만,92억0204만,"1,458개"
SMTOWN,[음악/댄스/가수],2670만,201억4620만,"3,668개"
Boram Tube Vlog [보람튜브 브이로그],[키즈/어린이],2650만,110억5288만,223개
1MILLION Dance Studio,[음악/댄스/가수],2360만,63억3163만,"2,501개"
1theK (원더케이),[음악/댄스/가수],2230만,193억2338만,"14,212개"
JYP Entertainment,[음악/댄스/가수],2010만,122억4274만,"1,224개"
Mnet K-POP,[음악/댄스/가수],1740만,116억2094만,"23,109개"
Dua Lipa,[미분류],1730만,70억6197만,152개
JFlaMusic,[음악/댄스/가수],1700만,32억9820만,277개
KBS WORLD TV,[TV/방송],1580만,114억6002만,"50,068개"
officialpsy,[음악/댄스/가수],1480만,83억6532만,90개
BIGBANG,[음악/댄스/가수],1340만,64억5287만,773개
Jane ASMR 제인,[음식/요리/레시피],1260만,40억5086만,"1,047개"
Nao FunFun,[키즈/어린이],1090만,565만,99개
TWICE,[음악/댄스/가수],1030만,17억3413만,517개
Stone Music Entertainment,[음악/댄스/가수],961만,73억0101만,"7,298개"
DuDuPopTOY,[키즈/어린이],950만,41억7495만,"1,616개"
MBCkpop,[TV/방송],920만,69억4188만,"39,791개"
핑크퐁 (인기 동요・동화),[키즈/어린이],904만,53억7400만,"2,099개"
Larva TUBA,[키즈/어린이],896만,38억3505만,"2,400개"
서은이야기[SeoeunStory],[키즈/어린이],885만,39억3313만,974개
Toymong tv 토이몽TV,[키즈/어린이],878만,35억8676만,"1,716개"
Hongyu ASMR 홍유,[음식/요리/레시피],828만,21억5552만,338개
MBCentertainment,[뉴스/정치/사회],817만,133억1553만,"82,781개"
Mnet Official,[음악/댄스/가수],812만,85억1606만,"17,761개"
iKON,[음악/댄스/가수],794만,19억4873만,459개
MariAndKids,[키즈/어린이],736만,23억2124만,910개
EXO,[음악/댄스/가수],730만,3억3146만,165개
SonicToy소닉토이,[키즈/어린이],713만,29억5990만,228개
M2,[TV/방송],693만,48억6010만,"13,146개"
