서비스,순위,타이틀,가수
Melon,1,라일락,아이유
Melon,2,롤린 (Rollin'),브레이브걸스
Melon,3,Celebrity,아이유
Melon,4,Coin,아이유
Melon,5,On The Ground,로제 (ROSÉ)
Melon,6,Flu,아이유
Melon,7,봄 안녕 봄,아이유
Melon,8,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭
Melon,9,돌림노래 (Feat. DEAN),아이유
Melon,10,Dynamite,방탄소년단
Melon,11,아이와 나의 바다,아이유
Melon,12,밤하늘의 별을(2020),경서
Melon,13,밝게 빛나는 별이 되어 비춰줄게,송이한
Melon,14,어푸 (Ah puh),아이유
Melon,15,빈 컵 (Empty Cup),아이유
Melon,16,내 손을 잡아,아이유
Melon,17,잠이 오질 않네요,장범준
Melon,18,에필로그,아이유
Melon,19,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (Mirani)
Melon,20,취기를 빌려 (취향저격 그녀 X 산들),산들
Melon,21,Lovesick Girls,BLACKPINK
Melon,22,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재
Melon,23,Gone,로제 (ROSÉ)
Melon,24,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM
Melon,25,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
Melon,26,Blueming,아이유
Melon,27,에잇(Prod.&Feat. SUGA of BTS),아이유
Melon,28,그날에 나는 맘이 편했을까,이예준
Melon,29,오래된 노래,스탠딩 에그
Melon,30,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션)
Melon,31,힘든 건 사랑이 아니다,임창정
Melon,32,Life Goes On,방탄소년단
Melon,33,사실 나는 (Feat.전건호),경서예지
Melon,34,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685
Melon,35,고백 (바른연애 길잡이 X 허각),허각
Melon,36,METEOR,창모 (CHANGMO)
Melon,37,봄날,방탄소년단
Melon,38,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
Melon,39,운전만해 (We Ride),브레이브걸스
Melon,40,Dolphin,오마이걸 (OH MY GIRL)
Melon,41,어떻게 지내 (Prod. By VAN.C),오반 (OVAN)
Melon,42,2002,Anne-Marie
Melon,43,추억은 만남보다 이별에 남아,정동하
Melon,44,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN)
Melon,45,함께 했는데 이별은 나 혼자인 거야,소정 (레이디스 코드)
Melon,46,아로하,조정석
Melon,47,늦은 밤 너의 집 앞 골목길에서,노을
Melon,48,How You Like That,BLACKPINK
Melon,49,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
Melon,50,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
Melon,51,너의 번호를 누르고 (Prod. 영화처럼),#안녕
Melon,52,12:45 (Stripped),Etham
Melon,53,혼술하고 싶은 밤,벤
Melon,54,그 한마디 (바른연애 길잡이 X 이하이),이하이
Melon,55,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI)
Melon,56,마음을 드려요,아이유
Melon,57,I'm Not Cool,현아
Melon,58,Memories,Maroon 5
Melon,59,When We Disco (Duet with 선미),박진영
Melon,60,이제 나만 믿어요,임영웅
Melon,61,되풀이,임창정
Melon,62,서면역에서,순순희
Melon,63,너를 만나,폴킴
Melon,64,어떤X (What Type of X),제시 (Jessi)
Melon,65,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL)
Melon,66,Dance Monkey,Tones And I
Melon,67,시작,가호 (Gaho)
Melon,68,술 한잔 해요,경서 (경서예지)
Melon,69,우리 왜 헤어져야 해,신예영
Melon,70,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber
Melon,71,Love poem,아이유
Melon,72,우린 어쩌다 헤어진 걸까,허각
Melon,73,이렇게 좋아해 본 적이 없어요,CHEEZE (치즈)
Melon,74,Paris In The Rain,Lauv
Melon,75,거짓말이라도 해서 널 보고싶어,백지영
Melon,76,안녕,폴킴
Melon,77,Downtown Baby,블루 (BLOO)
Melon,78,꼬리 (TAIL),선미
Melon,79,사랑은 지날수록 더욱 선명하게 남아,전상근
Melon,80,마리아 (Maria),화사 (Hwa Sa)
Melon,81,Don't Call Me,SHINee (샤이니)
Melon,82,딩가딩가 (Dingga),마마무 (Mamamoo)
Melon,83,서른 밤째 (바른연애 길잡이 X 윤하 (YOUNHA)),윤하 (YOUNHA)
Melon,84,Don't Start Now,Dua Lipa
Melon,85,멜로디,ASH ISLAND
Melon,86,비로소 너에게 도착했다 (Full Bloom),마크툽 (MAKTUB)
Melon,87,Panorama,IZ*ONE (아이즈원)
Melon,88,홀로,이하이
Melon,89,소확행,임창정
Melon,90,별빛 같은 나의 사랑아,임영웅
Melon,91,아무노래,지코 (ZICO)
Melon,92,다시 만날까 봐 (Prod.V.O.S),이예준
Melon,93,처음처럼,엠씨더맥스 (M.C the MAX)
Melon,94,너의 흔적,엠씨더맥스 (M.C the MAX)
Melon,95,I CAN’T STOP ME,TWICE (트와이스)
Melon,96,Maniac,Conan Gray
Melon,97,"CREDIT (Feat. 염따, 기리보이, Zion.T)",릴보이 (lIlBOI)
Melon,98,좋은 이별이 있을 리가 없잖아 (Feat. 조현아 Of 어반자카파),MC몽
Melon,99,화(火花),(여자)아이들
Melon,100,눈누난나 (NUNU NANA),제시 (Jessi)
