서비스,순위,타이틀,가수
Genie,1,라일락,아이유 (IU)
Genie,2,롤린 (Rollin'),브레이브걸스 (Brave girls)
Genie,3,Coin,아이유 (IU)
Genie,4,Flu,아이유 (IU)
Genie,5,Celebrity,아이유 (IU)
Genie,6,봄 안녕 봄,아이유 (IU)
Genie,7,아이와 나의 바다,아이유 (IU)
Genie,8,돌림노래 (Feat. DEAN),아이유 (IU)
Genie,9,별빛 같은 나의 사랑아,임영웅
Genie,10,이제 나만 믿어요,임영웅
Genie,11,어푸 (Ah puh),아이유 (IU)
Genie,12,에필로그,아이유 (IU)
Genie,13,HERO,임영웅
Genie,14,On The Ground,로제 (ROSE)
Genie,15,어느 60대 노부부이야기,임영웅
Genie,16,빈 컵 (Empty Cup),아이유 (IU)
Genie,17,바램,임영웅
Genie,18,계단말고 엘리베이터,임영웅
Genie,19,DO or NOT,펜타곤
Genie,20,미워요,임영웅
Genie,21,따라따라,임영웅
Genie,22,소나기,임영웅
Genie,23,이제 나만 믿어요 (Piano by 조영수),임영웅
Genie,24,후,임영웅
Genie,25,뭣이중헌디,임영웅
Genie,26,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭 & 정은지
Genie,27,운전만해 (We Ride),브레이브걸스 (Brave girls)
Genie,28,At My Worst,Pink Sweat$
Genie,29,밝게 빛나는 별이 되어 비춰줄게,송이한
Genie,30,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber
Genie,31,Dynamite,방탄소년단
Genie,32,밤하늘의 별을 (2020),경서
Genie,33,Don't Call Me,SHINee (샤이니)
Genie,34,만개 (Prod. 신지후),김호중
Genie,35,내 손을 잡아,아이유 (IU)
Genie,36,나보다 더 사랑해요,김호중
Genie,37,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM
Genie,38,살았소,김호중
Genie,39,Gone,로제 (ROSE)
Genie,40,아무도 잠들지 마라 (Nessun Dorma),김호중
Genie,41,VVS (Feat. JUSTHIS) (Prod. by GroovyRoom),미란이 (Mirani) & 먼치맨 (MUNCHMAN) & Khundi Panda & 머쉬베놈 (MUSHVENOM)
Genie,42,나를 잊지 말아요 (Non Ti Scordar Di Me),김호중
Genie,43,퇴근길,김호중
Genie,44,위대한 사랑 (Un Amore Cosi Grande),김호중
Genie,45,잠이 오질 않네요,장범준
Genie,46,함께 했는데 이별은 나 혼자인 거야,소정 (레이디스 코드)
Genie,47,우린 어쩌다 헤어진 걸까,허각
Genie,48,고맙소,김호중
Genie,49,Life Goes On,방탄소년단
Genie,50,12 : 45 (Stripped),etham
